M2US000$ Index,,,M2US000V Index,,,M2USQU Index,,,M2USSC Index,,,M2US000G Index,,,M2USMVOL Index,,,M2USAHDV Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
12/7/2012,997.78,,12/7/2012,7093.1,,12/7/2012,1039.01,,12/7/2012,249.23,,12/7/2012,4880.47,,12/7/2012,1898.04,,12/7/2012,1894.56
12/14/2012,986.39,,12/14/2012,7098.3,,12/14/2012,1040.86,,12/14/2012,249.5,,12/14/2012,4848.73,,12/14/2012,1889.2,,12/14/2012,1891.4
12/21/2012,988.93,,12/21/2012,7183.2,,12/21/2012,1052.04,,12/21/2012,255.51,,12/21/2012,4909.95,,12/21/2012,1894.39,,12/21/2012,1897.04
12/28/2012,973.98,,12/28/2012,7052.31,,12/28/2012,1029.96,,12/28/2012,251.12,,12/28/2012,4815.53,,12/28/2012,1861.39,,12/28/2012,1858.41
1/4/2013,1016.05,,1/4/2013,7380.52,,1/4/2013,1073.98,,1/4/2013,264.74,,1/4/2013,5035.77,,1/4/2013,1937.1,,1/4/2013,1933.46
1/11/2013,1020.23,,1/11/2013,7405.2,,1/11/2013,1080.58,,1/11/2013,265.17,,1/11/2013,5067.41,,1/11/2013,1945.82,,1/11/2013,1942.8
1/18/2013,1025.32,,1/18/2013,7491.72,,1/18/2013,1088.23,,1/18/2013,269.17,,1/18/2013,5103.9,,1/18/2013,1961.98,,1/18/2013,1966.24
1/25/2013,1033.35,,1/25/2013,7612.25,,1/25/2013,1103.76,,1/25/2013,273.69,,1/25/2013,5144.8,,1/25/2013,1980.17,,1/25/2013,1989.36
2/1/2013,1042.04,,2/1/2013,7683.32,,2/1/2013,1112.78,,2/1/2013,275.48,,2/1/2013,5167.98,,2/1/2013,1996.88,,2/1/2013,2000.05
2/8/2013,1043.85,,2/8/2013,7694.58,,2/8/2013,1112.72,,2/8/2013,277.25,,2/8/2013,5201.39,,2/8/2013,2007.36,,2/8/2013,2003.73
2/15/2013,1048.15,,2/15/2013,7735.55,,2/15/2013,1115.94,,2/15/2013,279.49,,2/15/2013,5189.89,,2/15/2013,2005.38,,2/15/2013,2010.78
2/22/2013,1047.67,,2/22/2013,7733.76,,2/22/2013,1113.71,,2/22/2013,276.8,,2/22/2013,5161.76,,2/22/2013,2021.53,,2/22/2013,2025.67
3/1/2013,1059.45,,3/1/2013,7743.98,,3/1/2013,1120.27,,3/1/2013,276.26,,3/1/2013,5180.31,,3/1/2013,2040.24,,3/1/2013,2033.78
3/8/2013,1081.87,,3/8/2013,7924.28,,3/8/2013,1143.79,,3/8/2013,284.88,,3/8/2013,5290.83,,3/8/2013,2067.88,,3/8/2013,2067.19
3/15/2013,1081.43,,3/15/2013,7994.81,,3/15/2013,1146.38,,3/15/2013,288.16,,3/15/2013,5311.34,,3/15/2013,2076.67,,3/15/2013,2081.22
3/22/2013,1093.64,,3/22/2013,7968.76,,3/22/2013,1143.49,,3/22/2013,286.46,,3/22/2013,5303.83,,3/22/2013,2102.36,,3/22/2013,2094.58
3/29/2013,1107.49,,3/29/2013,8026.46,,3/29/2013,1152.96,,3/29/2013,288.9,,3/29/2013,5357.28,,3/29/2013,2138.14,,3/29/2013,2120.24
4/5/2013,1108.13,,4/5/2013,7971.23,,4/5/2013,1135.97,,4/5/2013,281.2,,4/5/2013,5285.49,,4/5/2013,2130.21,,4/5/2013,2110.4
4/12/2013,1140.34,,4/12/2013,8140.69,,4/12/2013,1160.46,,4/12/2013,287.48,,4/12/2013,5422.15,,4/12/2013,2177.92,,4/12/2013,2154.55
4/19/2013,1135.16,,4/19/2013,8019.68,,4/19/2013,1138.17,,4/19/2013,278.73,,4/19/2013,5274.45,,4/19/2013,2166.71,,4/19/2013,2142.08
4/26/2013,1139.9,,4/26/2013,8169.68,,4/26/2013,1158.93,,4/26/2013,285.04,,4/26/2013,5363.59,,4/26/2013,2181.77,,4/26/2013,2164.86
5/3/2013,1156.07,,5/3/2013,8288.94,,5/3/2013,1193.69,,5/3/2013,291,,5/3/2013,5505.83,,5/3/2013,2199.7,,5/3/2013,2191.3
5/10/2013,1166.52,,5/10/2013,8370.59,,5/10/2013,1204.65,,5/10/2013,297.51,,5/10/2013,5593.75,,5/10/2013,2204.53,,5/10/2013,2194.35
5/17/2013,1179.46,,5/17/2013,8590.52,,5/17/2013,1232.7,,5/17/2013,303.84,,5/17/2013,5678.03,,5/17/2013,2235.59,,5/17/2013,2243.64
5/24/2013,1169.88,,5/24/2013,8516.42,,5/24/2013,1219.82,,5/24/2013,299.44,,5/24/2013,5601.37,,5/24/2013,2202.44,,5/24/2013,2225.82
5/31/2013,1138.98,,5/31/2013,8421.23,,5/31/2013,1211.17,,5/31/2013,299.36,,5/31/2013,5535.22,,5/31/2013,2143,,5/31/2013,2180.69
6/7/2013,1147.69,,6/7/2013,8512.77,,6/7/2013,1217.66,,6/7/2013,299.73,,6/7/2013,5563.49,,6/7/2013,2161.76,,6/7/2013,2207.32
6/14/2013,1142.61,,6/14/2013,8441.86,,6/14/2013,1203.47,,6/14/2013,298.07,,6/14/2013,5503.38,,6/14/2013,2160.25,,6/14/2013,2196.23
6/21/2013,1110.81,,6/21/2013,8274.96,,6/21/2013,1172.13,,6/21/2013,291.27,,6/21/2013,5375.12,,6/21/2013,2105.11,,6/21/2013,2148.31
6/28/2013,1128.01,,6/28/2013,8359.54,,6/28/2013,1179.08,,6/28/2013,296.85,,6/28/2013,5428.04,,6/28/2013,2136.02,,6/28/2013,2163.02
7/5/2013,1145.95,,7/5/2013,8461.11,,7/5/2013,1199.37,,7/5/2013,304.74,,7/5/2013,5538.45,,7/5/2013,2148.93,,7/5/2013,2186.7
7/12/2013,1188.43,,7/12/2013,8713.66,,7/12/2013,1229.93,,7/12/2013,314.01,,7/12/2013,5708.12,,7/12/2013,2216.3,,7/12/2013,2254.05
7/19/2013,1200.54,,7/19/2013,8782.14,,7/19/2013,1225.03,,7/19/2013,316.99,,7/19/2013,5746.87,,7/19/2013,2225.02,,7/19/2013,2253.46
7/26/2013,1205.93,,7/26/2013,8777.7,,7/26/2013,1231.89,,7/26/2013,316.06,,7/26/2013,5757.91,,7/26/2013,2222.89,,7/26/2013,2257.38
8/2/2013,1216.02,,8/2/2013,8844.5,,8/2/2013,1246.54,,8/2/2013,321.43,,8/2/2013,5851.32,,8/2/2013,2232.88,,8/2/2013,2276.61
8/9/2013,1201.39,,8/9/2013,8763.64,,8/9/2013,1235.16,,8/9/2013,318.12,,8/9/2013,5792.59,,8/9/2013,2219.02,,8/9/2013,2260.27
8/16/2013,1162.36,,8/16/2013,8553.25,,8/16/2013,1211.5,,8/16/2013,310.87,,8/16/2013,5689.58,,8/16/2013,2158.29,,8/16/2013,2215.6
8/23/2013,1171.83,,8/23/2013,8588.53,,8/23/2013,1227.79,,8/23/2013,314.78,,8/23/2013,5733.24,,8/23/2013,2175.36,,8/23/2013,2222.32
8/30/2013,1157.75,,8/30/2013,8419.23,,8/30/2013,1206.67,,8/30/2013,306.66,,8/30/2013,5646.35,,8/30/2013,2142.56,,8/30/2013,2185.64
9/6/2013,1168.5,,9/6/2013,8491.35,,9/6/2013,1221.98,,9/6/2013,312.25,,9/6/2013,5757.46,,9/6/2013,2151.66,,9/6/2013,2195.02
9/13/2013,1197.01,,9/13/2013,8673.34,,9/13/2013,1249.57,,9/13/2013,319.64,,9/13/2013,5871.26,,9/13/2013,2193.31,,9/13/2013,2232.17
9/20/2013,1214.22,,9/20/2013,8764.44,,9/20/2013,1268.94,,9/20/2013,324.67,,9/20/2013,5965.63,,9/20/2013,2228.69,,9/20/2013,2260.69
9/27/2013,1201.67,,9/27/2013,8657.56,,9/27/2013,1258.81,,9/27/2013,325.07,,9/27/2013,5927,,9/27/2013,2206.63,,9/27/2013,2235.15
10/4/2013,1201.57,,10/4/2013,8653.82,,10/4/2013,1255.23,,10/4/2013,327.53,,10/4/2013,5930.59,,10/4/2013,2196.98,,10/4/2013,2226.46
10/11/2013,1209.48,,10/11/2013,8757.66,,10/11/2013,1259.51,,10/11/2013,327.94,,10/11/2013,5946.45,,10/11/2013,2221.32,,10/11/2013,2253.8
10/18/2013,1248.23,,10/18/2013,8960.31,,10/18/2013,1292.79,,10/18/2013,336.49,,10/18/2013,6107.15,,10/18/2013,2274.54,,10/18/2013,2300.18
10/25/2013,1260.74,,10/25/2013,9024.6,,10/25/2013,1306.75,,10/25/2013,338.7,,10/25/2013,6159.38,,10/25/2013,2303.98,,10/25/2013,2331.64
11/1/2013,1262.79,,11/1/2013,9037.56,,11/1/2013,1312.86,,11/1/2013,334.81,,11/1/2013,6155.56,,11/1/2013,2307.76,,11/1/2013,2343.54
11/8/2013,1256.58,,11/8/2013,9138.67,,11/8/2013,1321.98,,11/8/2013,335.04,,11/8/2013,6147.25,,11/8/2013,2311.36,,11/8/2013,2367.09
11/15/2013,1282.82,,11/15/2013,9253.44,,11/15/2013,1350.84,,11/15/2013,341.57,,11/15/2013,6271.89,,11/15/2013,2349.57,,11/15/2013,2390.31
11/22/2013,1294.25,,11/22/2013,9294.38,,11/22/2013,1356.79,,11/22/2013,342.76,,11/22/2013,6284.38,,11/22/2013,2342.98,,11/22/2013,2393.11
11/29/2013,1295.39,,11/29/2013,9250.09,,11/29/2013,1364.85,,11/29/2013,345.4,,11/29/2013,6327.64,,11/29/2013,2332.24,,11/29/2013,2389.9
12/6/2013,1295.31,,12/6/2013,9257.09,,12/6/2013,1364.04,,12/6/2013,343.73,,12/6/2013,6327.84,,12/6/2013,2330.88,,12/6/2013,2393.4
12/13/2013,1285.99,,12/13/2013,9092.79,,12/13/2013,1339.08,,12/13/2013,337.6,,12/13/2013,6248.84,,12/13/2013,2284.59,,12/13/2013,2346.45
12/20/2013,1321.5,,12/20/2013,9311.87,,12/20/2013,1373.77,,12/20/2013,347.74,,12/20/2013,6404.57,,12/20/2013,2327.88,,12/20/2013,2387.85
12/27/2013,1330.62,,12/27/2013,9442.91,,12/27/2013,1392.4,,12/27/2013,352.47,,12/27/2013,6481.69,,12/27/2013,2352.25,,12/27/2013,2420.37
1/3/2014,1322.9,,1/3/2014,9391.49,,1/3/2014,1384.07,,1/3/2014,351.7,,1/3/2014,6450.78,,1/3/2014,2339.36,,1/3/2014,2398.83
1/10/2014,1347.36,,1/10/2014,9439.63,,1/10/2014,1394.25,,1/10/2014,355.58,,1/10/2014,6502.4,,1/10/2014,2359.56,,1/10/2014,2398.01
1/17/2014,1339.11,,1/17/2014,9415.38,,1/17/2014,1393.35,,1/17/2014,356.22,,1/17/2014,6497.63,,1/17/2014,2353.74,,1/17/2014,2397.94
1/24/2014,1302.52,,1/24/2014,9151.86,,1/24/2014,1354.62,,1/24/2014,348.24,,1/24/2014,6340,,1/24/2014,2298.33,,1/24/2014,2346.77
1/31/2014,1304.36,,1/31/2014,9132.32,,1/31/2014,1340.2,,1/31/2014,346.93,,1/31/2014,6306.55,,1/31/2014,2290.72,,1/31/2014,2325.18
2/7/2014,1321.33,,2/7/2014,9167.93,,2/7/2014,1351.21,,2/7/2014,344.66,,2/7/2014,6395.23,,2/7/2014,2300.1,,2/7/2014,2337.61
2/14/2014,1359.69,,2/14/2014,9389.43,,2/14/2014,1386.61,,2/14/2014,354.93,,2/14/2014,6550.44,,2/14/2014,2358.95,,2/14/2014,2399.43
2/21/2014,1371.45,,2/21/2014,9388.16,,2/21/2014,1388.84,,2/21/2014,358.83,,2/21/2014,6553.28,,2/21/2014,2369.08,,2/21/2014,2388.99
2/28/2014,1391.27,,2/28/2014,9498.87,,2/28/2014,1405.4,,2/28/2014,364.3,,2/28/2014,6645.54,,2/28/2014,2390.67,,2/28/2014,2417.52
3/7/2014,1403.79,,3/7/2014,9598.25,,3/7/2014,1411.75,,3/7/2014,369.22,,3/7/2014,6705.13,,3/7/2014,2405.04,,3/7/2014,2428.83
3/14/2014,1369.75,,3/14/2014,9435.87,,3/14/2014,1384.7,,3/14/2014,362.43,,3/14/2014,6563.57,,3/14/2014,2385.49,,3/14/2014,2404.76
3/21/2014,1369.07,,3/21/2014,9608.23,,3/21/2014,1397.31,,3/21/2014,366.54,,3/21/2014,6618.74,,3/21/2014,2391.63,,3/21/2014,2438.86
3/28/2014,1331.91,,3/28/2014,9673.12,,3/28/2014,1386.81,,3/28/2014,356.68,,3/28/2014,6510.99,,3/28/2014,2390.02,,3/28/2014,2465.19
4/4/2014,1327.14,,4/4/2014,9747.93,,4/4/2014,1387.92,,4/4/2014,358.23,,4/4/2014,6511.6,,4/4/2014,2400.3,,4/4/2014,2476.8
4/11/2014,1283.85,,4/11/2014,9531.06,,4/11/2014,1353.55,,4/11/2014,345.57,,4/11/2014,6314.8,,4/11/2014,2358.29,,4/11/2014,2440.47
4/18/2014,1326.73,,4/18/2014,9768.08,,4/18/2014,1392.81,,4/18/2014,354.25,,4/18/2014,6500,,4/18/2014,2414.69,,4/18/2014,2501.17
4/25/2014,1313.51,,4/25/2014,9758.22,,4/25/2014,1389.64,,4/25/2014,351.48,,4/25/2014,6491.25,,4/25/2014,2413.94,,4/25/2014,2512.21
5/2/2014,1334.17,,5/2/2014,9834.01,,5/2/2014,1409.27,,5/2/2014,354.26,,5/2/2014,6575.04,,5/2/2014,2438.22,,5/2/2014,2534.04
5/9/2014,1331.22,,5/9/2014,9843.26,,5/9/2014,1408.88,,5/9/2014,348.93,,5/9/2014,6558.69,,5/9/2014,2442.51,,5/9/2014,2536.5
5/16/2014,1333.55,,5/16/2014,9833.31,,5/16/2014,1409.6,,5/16/2014,348.34,,5/16/2014,6570.58,,5/16/2014,2442.66,,5/16/2014,2533.99
5/23/2014,1366.26,,5/23/2014,9911.75,,5/23/2014,1426.56,,5/23/2014,354.39,,5/23/2014,6686.32,,5/23/2014,2451.08,,5/23/2014,2549.32
5/30/2014,1385.71,,5/30/2014,10019.34,,5/30/2014,1442.38,,5/30/2014,356.89,,5/30/2014,6777.7,,5/30/2014,2472.45,,5/30/2014,2582.16
6/6/2014,1401.72,,6/6/2014,10155.94,,6/6/2014,1459.41,,6/6/2014,366.26,,6/6/2014,6876.15,,6/6/2014,2493.39,,6/6/2014,2599.85
6/13/2014,1391.97,,6/13/2014,10123.96,,6/13/2014,1442.05,,6/13/2014,365.56,,6/13/2014,6812.5,,6/13/2014,2472.05,,6/13/2014,2596.17
6/20/2014,1416.79,,6/20/2014,10293.06,,6/20/2014,1455.53,,6/20/2014,373.3,,6/20/2014,6890.67,,6/20/2014,2507.07,,6/20/2014,2637.15
6/27/2014,1417.12,,6/27/2014,10242.72,,6/27/2014,1454.55,,6/27/2014,373.92,,6/27/2014,6916.25,,6/27/2014,2503.61,,6/27/2014,2628.65
7/4/2014,1430.89,,7/4/2014,10332,,7/4/2014,1476.88,,7/4/2014,379.49,,7/4/2014,7031.93,,7/4/2014,2521.39,,7/4/2014,2651.79
7/11/2014,1416.4,,7/11/2014,10257.62,,7/11/2014,1462.87,,7/11/2014,367.68,,7/11/2014,6955.51,,7/11/2014,2516.09,,7/11/2014,2645.07
7/18/2014,1419.89,,7/18/2014,10340.92,,7/18/2014,1467.17,,7/18/2014,366.49,,7/18/2014,6978.25,,7/18/2014,2528.04,,7/18/2014,2662.82
7/25/2014,1435.66,,7/25/2014,10327.88,,7/25/2014,1471.15,,7/25/2014,365.23,,7/25/2014,6991.16,,7/25/2014,2517.77,,7/25/2014,2659.77
8/1/2014,1400.03,,8/1/2014,10026.53,,8/1/2014,1434.51,,8/1/2014,355.19,,8/1/2014,6830.13,,8/1/2014,2467.45,,8/1/2014,2584.51
8/8/2014,1399.18,,8/8/2014,10051.19,,8/8/2014,1444.24,,8/8/2014,359.36,,8/8/2014,6863.96,,8/8/2014,2479.96,,8/8/2014,2592.29
8/15/2014,1423.22,,8/15/2014,10154.87,,8/15/2014,1464.03,,8/15/2014,363.91,,8/15/2014,6971.17,,8/15/2014,2516.5,,8/15/2014,2625.2
8/22/2014,1451.21,,8/22/2014,10303.78,,8/22/2014,1497.75,,8/22/2014,370.66,,8/22/2014,7112,,8/22/2014,2549.47,,8/22/2014,2660.29
8/29/2014,1464.97,,8/29/2014,10408.95,,8/29/2014,1504.48,,8/29/2014,374.92,,8/29/2014,7156.55,,8/29/2014,2567.3,,8/29/2014,2683.45
9/5/2014,1476.39,,9/5/2014,10444.18,,9/5/2014,1504.87,,9/5/2014,374.53,,9/5/2014,7165.84,,9/5/2014,2581.28,,9/5/2014,2689.41
9/12/2014,1461.25,,9/12/2014,10318.21,,9/12/2014,1493.4,,9/12/2014,370.99,,9/12/2014,7102.02,,9/12/2014,2544.49,,9/12/2014,2665.38
9/19/2014,1477.3,,9/19/2014,10478.54,,9/19/2014,1510.51,,9/19/2014,368.68,,9/19/2014,7157.36,,9/19/2014,2572.84,,9/19/2014,2707.12
9/26/2014,1463.82,,9/26/2014,10315.41,,9/26/2014,1496.31,,9/26/2014,359.99,,9/26/2014,7074.06,,9/26/2014,2550.05,,9/26/2014,2677.8
10/3/2014,1453.87,,10/3/2014,10232.03,,10/3/2014,1485.69,,10/3/2014,355.12,,10/3/2014,7023.99,,10/3/2014,2557.91,,10/3/2014,2658.28
10/10/2014,1397.26,,10/10/2014,9939.46,,10/10/2014,1439.8,,10/10/2014,338.11,,10/10/2014,6782.7,,10/10/2014,2519.48,,10/10/2014,2598.92
10/17/2014,1383.68,,10/17/2014,9824.19,,10/17/2014,1426.55,,10/17/2014,344.4,,10/17/2014,6735.68,,10/17/2014,2503.58,,10/17/2014,2562.41
10/24/2014,1457.42,,10/24/2014,10180.82,,10/24/2014,1486.14,,10/24/2014,357.71,,10/24/2014,7047.78,,10/24/2014,2596.16,,10/24/2014,2664.31
10/31/2014,1490.07,,10/31/2014,10455.99,,10/31/2014,1531.83,,10/31/2014,371.76,,10/31/2014,7239.67,,10/31/2014,2657.39,,10/31/2014,2731.96
11/7/2014,1498.87,,11/7/2014,10560.2,,11/7/2014,1535.63,,11/7/2014,372.51,,11/7/2014,7272.84,,11/7/2014,2681.92,,11/7/2014,2759.83
11/14/2014,1501.36,,11/14/2014,10551.67,,11/14/2014,1546.29,,11/14/2014,373,,11/14/2014,7342.95,,11/14/2014,2690.56,,11/14/2014,2774.4
11/21/2014,1522.48,,11/21/2014,10687.46,,11/21/2014,1559.22,,11/21/2014,375.27,,11/21/2014,7429.12,,11/21/2014,2719.48,,11/21/2014,2811.87
11/28/2014,1546.48,,11/28/2014,10640.74,,11/28/2014,1568.55,,11/28/2014,374.84,,11/28/2014,7493.36,,11/28/2014,2748.94,,11/28/2014,2808.53
12/5/2014,1554.23,,12/5/2014,10726.21,,12/5/2014,1576.83,,12/5/2014,375.89,,12/5/2014,7487.35,,12/5/2014,2751.85,,12/5/2014,2823.44
12/12/2014,1513.66,,12/12/2014,10307.47,,12/12/2014,1525.55,,12/12/2014,364.85,,12/12/2014,7256.12,,12/12/2014,2687.32,,12/12/2014,2710.99
12/19/2014,1554.07,,12/19/2014,10682.24,,12/19/2014,1575.57,,12/19/2014,378.06,,12/19/2014,7494.77,,12/19/2014,2764.4,,12/19/2014,2809.83
12/26/2014,1554.43,,12/26/2014,10791.42,,12/26/2014,1583.14,,12/26/2014,383.52,,12/26/2014,7554.38,,12/26/2014,2792.35,,12/26/2014,2836.83
1/2/2015,1529.32,,1/2/2015,10649.67,,1/2/2015,1561.84,,1/2/2015,379.32,,1/2/2015,7440.95,,1/2/2015,2756.21,,1/2/2015,2790.82
1/9/2015,1545.4,,1/9/2015,10577.56,,1/9/2015,1558.76,,1/9/2015,376.02,,1/9/2015,7402.11,,1/9/2015,2779.5,,1/9/2015,2797.78
1/16/2015,1536.15,,1/16/2015,10463.88,,1/16/2015,1543.79,,1/16/2015,372.6,,1/16/2015,7304.24,,1/16/2015,2782.25,,1/16/2015,2788.4
1/23/2015,1571.56,,1/23/2015,10568.91,,1/23/2015,1574.31,,1/23/2015,377.2,,1/23/2015,7470.36,,1/23/2015,2817.46,,1/23/2015,2800.08
1/30/2015,1521.43,,1/30/2015,10207,,1/30/2015,1536.39,,1/30/2015,371.37,,1/30/2015,7329.25,,1/30/2015,2738.8,,1/30/2015,2696.64
2/6/2015,1550.26,,2/6/2015,10565.94,,2/6/2015,1573,,2/6/2015,383.92,,2/6/2015,7532.59,,2/6/2015,2789.93,,2/6/2015,2766.89
2/13/2015,1580.96,,2/13/2015,10739.42,,2/13/2015,1607.04,,2/13/2015,390.76,,2/13/2015,7732.2,,2/13/2015,2821.04,,2/13/2015,2810.32
2/20/2015,1606.36,,2/20/2015,10748.75,,2/20/2015,1625.71,,2/20/2015,394.47,,2/20/2015,7832.04,,2/20/2015,2839.58,,2/20/2015,2811.4
2/27/2015,1604.47,,2/27/2015,10714.4,,2/27/2015,1629.26,,2/27/2015,393.82,,2/27/2015,7819.37,,2/27/2015,2839.15,,2/27/2015,2804.33
3/6/2015,1581.91,,3/6/2015,10502.31,,3/6/2015,1606.47,,3/6/2015,388.58,,3/6/2015,7740.98,,3/6/2015,2786.51,,3/6/2015,2736.39
3/13/2015,1573.85,,3/13/2015,10420.91,,3/13/2015,1586.79,,3/13/2015,391.29,,3/13/2015,7681.08,,3/13/2015,2778.33,,3/13/2015,2704.19
3/20/2015,1628.19,,3/20/2015,10660.59,,3/20/2015,1636.96,,3/20/2015,402.57,,3/20/2015,7916.36,,3/20/2015,2854.18,,3/20/2015,2772.62
3/27/2015,1592.24,,3/27/2015,10438.08,,3/27/2015,1601.69,,3/27/2015,394.79,,3/27/2015,7736.3,,3/27/2015,2808.11,,3/27/2015,2728.51
4/3/2015,1580.38,,4/3/2015,10491.24,,4/3/2015,1596.46,,4/3/2015,399.7,,4/3/2015,7753.84,,4/3/2015,2816.98,,4/3/2015,2734.37
4/10/2015,1606.71,,4/10/2015,10665.23,,4/10/2015,1625.2,,4/10/2015,402.74,,4/10/2015,7898.22,,4/10/2015,2844.42,,4/10/2015,2781.78
4/17/2015,1584.2,,4/17/2015,10612.34,,4/17/2015,1599.41,,4/17/2015,398.88,,4/17/2015,7781.85,,4/17/2015,2809.37,,4/17/2015,2767.04
4/24/2015,1615.68,,4/24/2015,10758.09,,4/24/2015,1642.93,,4/24/2015,404.03,,4/24/2015,7941.09,,4/24/2015,2856.18,,4/24/2015,2817.51
5/1/2015,1597.49,,5/1/2015,10785.46,,5/1/2015,1632.4,,5/1/2015,394.8,,5/1/2015,7848.42,,5/1/2015,2826.11,,5/1/2015,2816.75
5/8/2015,1604.65,,5/8/2015,10836.05,,5/8/2015,1640.52,,5/8/2015,396.59,,5/8/2015,7876.16,,5/8/2015,2842.92,,5/8/2015,2823.89
5/15/2015,1621.9,,5/15/2015,10859.17,,5/15/2015,1651.37,,5/15/2015,400.28,,5/15/2015,7919.83,,5/15/2015,2862.48,,5/15/2015,2832.6
5/22/2015,1629.23,,5/22/2015,10862.71,,5/22/2015,1651.65,,5/22/2015,402.88,,5/22/2015,7965.19,,5/22/2015,2857.24,,5/22/2015,2819.6
5/29/2015,1623.86,,5/29/2015,10793.98,,5/29/2015,1632.11,,5/29/2015,400.03,,5/29/2015,7883.32,,5/29/2015,2832.9,,5/29/2015,2804.75
6/5/2015,1606.81,,6/5/2015,10677.02,,6/5/2015,1619.01,,6/5/2015,402.84,,6/5/2015,7873.48,,6/5/2015,2794.84,,6/5/2015,2753.29
6/12/2015,1611.61,,6/12/2015,10709.39,,6/12/2015,1624.3,,6/12/2015,403.85,,6/12/2015,7870.47,,6/12/2015,2798.4,,6/12/2015,2756.07
6/19/2015,1644.17,,6/19/2015,10771.79,,6/19/2015,1641.1,,6/19/2015,408.38,,6/19/2015,7949.65,,6/19/2015,2830.65,,6/19/2015,2784.77
6/26/2015,1645.67,,6/26/2015,10714.74,,6/26/2015,1630.31,,6/26/2015,406.11,,6/26/2015,7923.76,,6/26/2015,2814.47,,6/26/2015,2762.55
7/3/2015,1631.84,,7/3/2015,10587.9,,7/3/2015,1611.23,,7/3/2015,397.69,,7/3/2015,7839.92,,7/3/2015,2805.16,,7/3/2015,2735.79
7/10/2015,1645.91,,7/10/2015,10571.88,,7/10/2015,1613.3,,7/10/2015,397.58,,7/10/2015,7847.93,,7/10/2015,2832.34,,7/10/2015,2748.01
7/17/2015,1679.79,,7/17/2015,10740.94,,7/17/2015,1664.3,,7/17/2015,400.79,,7/17/2015,8096.19,,7/17/2015,2869.72,,7/17/2015,2781.34
7/24/2015,1663.75,,7/24/2015,10473.3,,7/24/2015,1622.84,,7/24/2015,390.17,,7/24/2015,7943.14,,7/24/2015,2833.05,,7/24/2015,2715.42
7/31/2015,1682.65,,7/31/2015,10600.87,,7/31/2015,1646.96,,7/31/2015,395.72,,7/31/2015,8035.18,,7/31/2015,2880.32,,7/31/2015,2755.51
8/7/2015,1649.85,,8/7/2015,10505.16,,8/7/2015,1631.51,,8/7/2015,388.28,,8/7/2015,7911.1,,8/7/2015,2880.36,,8/7/2015,2734.05
8/14/2015,1657.58,,8/14/2015,10596.44,,8/14/2015,1644.1,,8/14/2015,390.98,,8/14/2015,7958.38,,8/14/2015,2916.6,,8/14/2015,2759.84
8/21/2015,1569.77,,8/21/2015,10027.05,,8/21/2015,1548.44,,8/21/2015,372.06,,8/21/2015,7478.98,,8/21/2015,2801.29,,8/21/2015,2621.97
8/28/2015,1599.92,,8/28/2015,10044.17,,8/28/2015,1576.18,,8/28/2015,374.29,,8/28/2015,7610.27,,8/28/2015,2778.68,,8/28/2015,2624.36
9/4/2015,1553.02,,9/4/2015,9697.06,,9/4/2015,1529.02,,9/4/2015,364.66,,9/4/2015,7366.65,,9/4/2015,2692.92,,9/4/2015,2540.57
9/11/2015,1602.26,,9/11/2015,9861.28,,9/11/2015,1567.48,,9/11/2015,371.51,,9/11/2015,7552.94,,9/11/2015,2736.43,,9/11/2015,2582.69
9/18/2015,1605.81,,9/18/2015,9846.29,,9/18/2015,1565,,9/18/2015,372.91,,9/18/2015,7549.61,,9/18/2015,2757.17,,9/18/2015,2598.85
9/25/2015,1576.31,,9/25/2015,9782.61,,9/25/2015,1544.91,,9/25/2015,361.78,,9/25/2015,7375.27,,9/25/2015,2749.18,,9/25/2015,2587.86
10/2/2015,1588.33,,10/2/2015,9909.47,,10/2/2015,1571.36,,10/2/2015,360.28,,10/2/2015,7433.88,,10/2/2015,2771.7,,10/2/2015,2636.43
10/9/2015,1607.71,,10/9/2015,10297.12,,10/9/2015,1617.82,,10/9/2015,375.98,,10/9/2015,7625.88,,10/9/2015,2838.06,,10/9/2015,2734.76
10/16/2015,1627.71,,10/16/2015,10399.23,,10/16/2015,1630.03,,10/16/2015,374.25,,10/16/2015,7685.11,,10/16/2015,2867.93,,10/16/2015,2763.82
10/23/2015,1640.31,,10/23/2015,10598.58,,10/23/2015,1685.12,,10/23/2015,375.28,,10/23/2015,7831.31,,10/23/2015,2901.21,,10/23/2015,2825.66
10/30/2015,1664.98,,10/30/2015,10554.9,,10/30/2015,1689.66,,10/30/2015,375.06,,10/30/2015,7909.32,,10/30/2015,2899.42,,10/30/2015,2816.66
11/6/2015,1672.28,,11/6/2015,10660.78,,11/6/2015,1703.67,,11/6/2015,383.95,,11/6/2015,7994.64,,11/6/2015,2887.5,,11/6/2015,2820.53
11/13/2015,1617.47,,11/13/2015,10316.96,,11/13/2015,1632.08,,11/13/2015,367.77,,11/13/2015,7686.38,,11/13/2015,2820.5,,11/13/2015,2738.26
11/20/2015,1679.22,,11/20/2015,10597.24,,11/20/2015,1700.18,,11/20/2015,377.41,,11/20/2015,7981.58,,11/20/2015,2898.59,,11/20/2015,2821.31
